瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),SPI-3
90,加檬,Apr-08,13.1,62,13.5,-0.697
90,加檬,May-08,16.8,67,70,-0.093
90,加檬,Jun-08,18.7,79,91.3,-0.833
90,加檬,Jul-08,25.3,77,361.6,0.517
90,加檬,Aug-08,23.4,83,343.1,0.648
90,加檬,Sep-08,20.7,77,129.9,0.438
90,加檬,Oct-08,16.8,64,73.5,-0.151
90,加檬,Nov-08,9.1,53,78.5,-0.568
90,加檬,Dec-08,3.6,45,78,0.264
90,加檬,Jan-09,0.2,41,29,0.371
90,加檬,Feb-09,4.5,53,27,0.225
90,加檬,Mar-09,7,54,83.2,-0.045
90,加檬,Apr-09,12.8,55,111.2,0.721
90,加檬,May-09,17.7,64,50.5,0.503
90,加檬,Jun-09,20.2,74,181.1,0.775
90,加檬,Jul-09,21.7,84,405.2,1.023
90,加檬,Aug-09,23.1,78,247.3,0.796
90,加檬,Sep-09,20,73,20.5,-0.264
90,加檬,Oct-09,16.3,56,29.8,-1.516
90,加檬,Nov-09,8.2,58,220.6,-0.644
90,加檬,Dec-09,2,43,14.7,0.49
90,加檬,Jan-10,-0.4,44,41.5,1.024
90,加檬,Feb-10,1.5,59,113.5,0.611
90,加檬,Mar-10,3.7,66,152.1,1.888
90,加檬,Apr-10,9.1,57,51.6,1.679
90,加檬,May-10,16,64,149.5,1.413
90,加檬,Jun-10,20.1,75,18,-0.345
90,加檬,Jul-10,25,77,92.8,-1.032
90,加檬,Aug-10,25.7,81,274.4,-1.294
90,加檬,Sep-10,20.4,78,272,-0.422
90,加檬,Oct-10,14.9,68,86.5,0.27
90,加檬,Nov-10,9.1,41,12,0.011
90,加檬,Dec-10,2.8,37,19.7,-0.626
90,加檬,Jan-11,-2.7,33,12,-1.434
90,加檬,Feb-11,2.1,62,105.6,0.263
90,加檬,Mar-11,5.3,45,20.4,-0.063
90,加檬,Apr-11,11.4,54,115.7,0.943
90,加檬,May-11,14.3,71,65.3,0.062
90,加檬,Jun-11,20.2,72,341.5,2.001
90,加檬,Jul-11,22.3,87,412.1,1.723
90,加檬,Aug-11,24.8,81,140.3,1.024
90,加檬,Sep-11,20.4,72,190.1,0.048
90,加檬,Oct-11,14.9,59,22.1,-1.21
90,加檬,Nov-11,11,64,131.3,-0.158
90,加檬,Dec-11,1.3,44,99.7,0.415
90,加檬,Jan-12,-0.4,43,24.2,0.882
90,加檬,Feb-12,0.1,46,22.7,0.368
90,加檬,Mar-12,5.3,63,85.3,-0.158
90,加檬,Apr-12,12.1,65,133,0.936
90,加檬,May-12,16.4,77,46.1,0.648
90,加檬,Jun-12,19.8,88,76.2,-0.16
90,加檬,Jul-12,23.9,85,244.3,-0.315
90,加檬,Aug-12,24.4,89,212.5,-0.567
90,加檬,Sep-12,19.6,83,233.5,-0.101
90,加檬,Oct-12,15.8,65,25.6,-0.536
90,加檬,Nov-12,7.6,55,70.1,-0.17
90,加檬,Dec-12,-0.5,50,44.2,-0.427
90,加檬,Jan-13,-0.8,55,77.3,0.412
90,加檬,Feb-13,1.3,50,16.1,0.267
90,加檬,Mar-13,6.3,62,66.2,0.253
90,加檬,Apr-13,10.3,60,49,-0.477
90,加檬,May-13,16.9,69,80.1,-0.004
90,加檬,Jun-13,20.4,81,32,-1.026
90,加檬,Jul-13,25.6,78,292.7,-0.093
90,加檬,Aug-13,27.4,75,174.6,-0.694
90,加檬,Sep-13,20.3,82,175.3,-0.406
90,加檬,Oct-13,15.7,70,66.4,-0.843
90,加檬,Nov-13,8.4,52,23.3,-0.668
90,加檬,Dec-13,2.7,54,62.7,-0.297
90,加檬,Jan-14,1.9,50,29.3,-0.288
90,加檬,Feb-14,1,78,168.2,1.434
90,加檬,Mar-14,7.9,57,40.4,1.258
90,加檬,Apr-14,13.3,65,98.8,1.636
90,加檬,May-14,18.1,62,25,-0.368
90,加檬,Jun-14,19.9,90,41.9,-0.966
90,加檬,Jul-14,25.1,80,126.9,-1.592
90,加檬,Aug-14,23.5,88,296.1,-0.873
90,加檬,Sep-14,20.6,84,181,-0.591
90,加檬,Oct-14,15.8,67,39.6,-0.298
90,加檬,Nov-14,10.2,61,51.6,-0.635
90,加檬,Dec-14,0.6,38,0.2,-0.896
90,加檬,Jan-15,1.8,52,8.7,-1.094
90,加檬,Feb-15,2.4,59,32.1,-1.333
90,加檬,Mar-15,6.6,52,8,-1.953
90,加檬,Apr-15,11.1,69,74.2,-0.762
90,加檬,May-15,17.8,61,9.2,-1.462
90,加檬,Jun-15,19.5,83,127.7,-0.431
90,加檬,Jul-15,22.7,85,163.1,-0.673
90,加檬,Aug-15,24.2,84,198.6,-0.692
90,加檬,Sep-15,19.1,80,13.5,-1.642
90,加檬,Oct-15,14.7,58,27.4,-1.777
90,加檬,Nov-15,8.4,74,463.5,0.748
90,加檬,Dec-15,3,53,1.7,1.618
90,加檬,Jan-16,-1.2,43,6.6,2.053
90,加檬,Feb-16,0.8,55,38.3,-1.187
90,加檬,Mar-16,7,58,31.8,-1.2
90,加檬,Apr-16,12.6,66,77.5,-0.226
90,加檬,May-16,17.2,67,35.7,-0.617
90,加檬,Jun-16,20.6,82,62.2,-0.909
90,加檬,Jul-16,22.9,90,477.8,0.725
90,加檬,Aug-16,25.5,82,186.9,0.361
90,加檬,Sep-16,20.4,87,126,0.277
90,加檬,Oct-16,15.3,75,128.5,-0.659
90,加檬,Nov-16,8.4,60,40.8,-0.469
90,加檬,Dec-16,4.4,56,121.7,0.644
90,加檬,Jan-17,0.8,50,82.4,0.812
90,加檬,Feb-17,3,44,3.2,0.963
90,加檬,Mar-17,7,57,48.7,-0.121
90,加檬,Apr-17,14.8,56,46.8,-1.051
90,加檬,May-17,18.7,62,25.2,-0.967
90,加檬,Jun-17,19.8,79,69.7,-1.291
90,加檬,Jul-17,25.6,81,270.3,-0.323
90,加檬,Aug-17,23.7,84,424.9,0.523
90,加檬,Sep-17,20.8,71,50.5,0.062
90,加檬,Oct-17,14.5,74,135.4,0.167
90,加檬,Nov-17,7.8,43,41.2,-0.952
90,加檬,Dec-17,0.7,38,9.9,-0.045
90,加檬,Jan-18,-1.4,37,3.9,-1.195
90,加檬,Feb-18,-0.5,43,54.4,-0.728
90,加檬,Mar-18,8,59,55,-0.468
90,加檬,Apr-18,13,57,141.7,1.042
90,加檬,May-18,15.9,75,123.6,1.158
90,加檬,Jun-18,21.3,72,46.5,0.523
90,加檬,Jul-18,25,82,185.4,-0.383
90,加檬,Aug-18,25.6,82,625,0.885
90,加檬,Sep-18,20,73,66.1,0.607
90,加檬,Oct-18,13.5,61,257.6,1.547
90,加檬,Nov-18,9.2,57,207.4,0.902
90,加檬,Dec-18,1.6,42,10.4,1.56
90,加檬,Jan-19,1.7,35,8.7,0.681
90,加檬,Feb-19,2.5,49,27.6,-1.184
90,加檬,Mar-19,8.2,51,44.4,-1.109
90,加檬,Apr-19,11.9,55,80.9,-0.725
90,加檬,May-19,19.8,52,5.7,-1.405
90,加檬,Jun-19,20,78,97.8,-1.204
90,加檬,Jul-19,24.7,80,234.4,-0.493
90,加檬,Aug-19,25.7,78,293.5,-0.08
90,加檬,Sep-19,20.9,79,209.9,0.028
90,加檬,Oct-19,16.1,68,185.5,0.521
90,加檬,Nov-19,9.4,57,157.3,1.009
90,加檬,Dec-19,4.2,45,9.8,0.982
90,加檬,Jan-20,3.4,53,148.1,1.26
90,加檬,Feb-20,4.1,53,55.8,1.019
90,加檬,Mar-20,7.9,56,38,1.247
90,加檬,Apr-20,11.3,50,38.4,-0.462
90,加檬,May-20,17.1,70,245.1,1.168
90,加檬,Jun-20,22.2,74,271.9,0.759
90,加檬,Jul-20,21.6,85,374.7,1.975
90,加檬,Aug-20,25.7,82,411.3,1.597
90,加檬,Sep-20,20.1,75,482.8,2.623
90,加檬,Oct-20,14.3,60,0,1.347
90,加檬,Nov-20,10,47,19.2,0.759
90,加檬,Dec-20,1.8,35,0.5,-1.58
90,加檬,Jan-21,-1.2,43,0,-2.163
90,加檬,Feb-21,3.1,51,5,-3.104
90,加檬,Mar-21,8,64,104.2,-0.541
90,加檬,Apr-21,12.3,61,97.2,0.548
90,加檬,May-21,16.7,63,154.9,1.436
90,加檬,Jun-21,20.3,81,43.8,0.388
90,加檬,Jul-21,25.5,85,104.1,-0.725
90,加檬,Aug-21,24.4,80,247.1,-1.242
90,加檬,Sep-21,20.9,80,141.6,-1.144
90,加檬,Oct-21,15.5,69,216.9,0.142
90,加檬,Nov-21,9.9,50,16.2,0.037
90,加檬,Dec-21,2.8,47,68.7,0.707
90,加檬,Jan-22,-0.6,48,3.6,-0.653
90,加檬,Feb-22,0.3,40,11.1,-0.465
90,加檬,Mar-22,7.1,61,114.5,-0.201
90,加檬,Apr-22,14.2,55,33.5,-0.06
90,加檬,May-22,18.5,54,9.1,-0.458
90,加檬,Jun-22,20.9,79,248.7,0.348
90,加檬,Jul-22,24.3,88,213.1,0.261
90,加檬,Aug-22,24.6,81,323.7,0.606
90,加檬,Sep-22,20.3,76,263.8,0.297
90,加檬,Oct-22,13.9,70,377.1,1.604
90,加檬,Nov-22,11,55,38.4,1.591
90,加檬,Dec-22,-0.2,35,0.7,1.294
90,加檬,Jan-23,0.2,45,94.7,-0.115
90,加檬,Feb-23,2.7,53,43.4,0.281
90,加檬,Mar-23,9.3,54,10.1,0.09
90,加檬,Apr-23,12.6,61,57,-0.829
90,加檬,May-23,17,67,81,-0.575
90,加檬,Jun-23,21.9,74,200.1,0.738
90,加檬,Jul-23,25.8,79,108.2,-0.181
90,加檬,Aug-23,24.7,85,669.6,1.189
90,加檬,Sep-23,21.7,81,208.2,0.033
90,加檬,Oct-23,16.4,59,31.4,0.26
90,加檬,Nov-23,8.8,48,60.1,-1.633
90,加檬,Dec-23,2.3,56,205,-1.633
90,加檬,Jan-24,0.6,53,11.6,-2.583
90,加檬,Feb-24,1.9,75,125.7,0.263
90,加檬,Mar-24,5.7,58,58.6,0.725
90,加檬,Apr-24,13.9,66,63.4,1.007
90,加檬,May-24,17.8,61,63.4,-0.116
